"","Date","Site.Name","COUNTY","mean_lat","mean_lon","Month","Year","Ozone","PM2.5"
"60",2018-01-06,"Clemmons Middle","Forsyth",36.026,-80.342,1,2018,NA,35
"61",2018-01-06,"Durham Armory","Durham",36.0329550008979,-78.904037,1,2018,NA,32
"62",2018-01-06,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2018,31,40
"63",2018-01-06,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,1,2018,NA,22
"64",2018-01-06,"Leggett","Edgecombe",35.988278,-77.5843,1,2018,NA,8
"65",2018-01-06,"Mendenhall School","Guilford",36.1090060008986,-79.802314,1,2018,NA,23
"66",2018-01-06,"Millbrook School","Wake",35.856111,-78.574167,1,2018,33,33
"67",2018-01-06,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,2018,NA,17
"68",2018-01-06,"West Johnston Co.","Johnston",35.59095,-78.4622,1,2018,NA,29
"69",2018-01-07,"Bryson City","Swain",35.434767,-83.442133,1,2018,NA,54
"70",2018-01-07,"Castle Hayne","New Hanover",34.364167,-77.838611,1,2018,NA,9
"71",2018-01-07,"Clemmons Middle","Forsyth",36.026,-80.342,1,2018,NA,49
"72",2018-01-07,"Durham Armory","Durham",36.0329550008979,-78.904037,1,2018,NA,39
"73",2018-01-07,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2018,31,47
"74",2018-01-07,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,1,2018,NA,28
"75",2018-01-07,"Leggett","Edgecombe",35.988278,-77.5843,1,2018,NA,15
"76",2018-01-07,"Mendenhall School","Guilford",36.1090060008986,-79.802314,1,2018,NA,38
"77",2018-01-07,"Millbrook School","Wake",35.856111,-78.574167,1,2018,34,48
"78",2018-01-07,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,2018,NA,18
"79",2018-01-07,"West Johnston Co.","Johnston",35.59095,-78.4622,1,2018,NA,27
"80",2018-01-08,"Bryson City","Swain",35.434767,-83.442133,1,2018,NA,71
"81",2018-01-08,"Castle Hayne","New Hanover",34.364167,-77.838611,1,2018,NA,11
"82",2018-01-08,"Clemmons Middle","Forsyth",36.026,-80.342,1,2018,NA,52
"83",2018-01-08,"Durham Armory","Durham",36.0329550008979,-78.904037,1,2018,NA,34.5
"84",2018-01-08,"Frying Pan Mountain","Haywood",35.379167,-82.7925,1,2018,NA,3
"85",2018-01-08,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2018,16,53
"86",2018-01-08,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,1,2018,NA,40
"87",2018-01-08,"Leggett","Edgecombe",35.988278,-77.5843,1,2018,NA,40
"88",2018-01-08,"Linville Falls","Avery",35.972347,-81.933072,1,2018,NA,22
"89",2018-01-08,"Mendenhall School","Guilford",36.1090060008986,-79.802314,1,2018,NA,44
"90",2018-01-08,"Millbrook School","Wake",35.856111,-78.574167,1,2018,27,42.5
"91",2018-01-08,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,2018,NA,31
"92",2018-01-08,"West Johnston Co.","Johnston",35.59095,-78.4622,1,2018,NA,38
"93",2018-01-09,"Bryson City","Swain",35.434767,-83.442133,1,2018,NA,78
"94",2018-01-09,"Castle Hayne","New Hanover",34.364167,-77.838611,1,2018,NA,20
"95",2018-01-09,"Clemmons Middle","Forsyth",36.026,-80.342,1,2018,NA,60
"96",2018-01-09,"Durham Armory","Durham",36.0329550008979,-78.904037,1,2018,NA,49
"97",2018-01-09,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2018,28,53
"98",2018-01-09,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,1,2018,NA,54
"99",2018-01-09,"Leggett","Edgecombe",35.988278,-77.5843,1,2018,NA,19
"100",2018-01-09,"Mendenhall School","Guilford",36.1090060008986,-79.802314,1,2018,NA,43
"101",2018-01-09,"Millbrook School","Wake",35.856111,-78.574167,1,2018,30,35
"102",2018-01-09,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,2018,NA,31
"103",2018-01-09,"West Johnston Co.","Johnston",35.59095,-78.4622,1,2018,NA,43
"104",2018-01-10,"Bryson City","Swain",35.434767,-83.442133,1,2018,NA,56
"105",2018-01-10,"Castle Hayne","New Hanover",34.364167,-77.838611,1,2018,NA,14
"106",2018-01-10,"Clemmons Middle","Forsyth",36.026,-80.342,1,2018,NA,39
"107",2018-01-10,"Durham Armory","Durham",36.0329550008979,-78.904037,1,2018,NA,39
"108",2018-01-10,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2018,31,38
"109",2018-01-10,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,1,2018,NA,32
"110",2018-01-10,"Leggett","Edgecombe",35.988278,-77.5843,1,2018,NA,35
"111",2018-01-10,"Mendenhall School","Guilford",36.1090060008986,-79.802314,1,2018,NA,29
"112",2018-01-10,"Millbrook School","Wake",35.856111,-78.574167,1,2018,33,22
"113",2018-01-10,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,2018,NA,37
"114",2018-01-10,"West Johnston Co.","Johnston",35.59095,-78.4622,1,2018,NA,35
"115",2018-01-11,"Bryson City","Swain",35.434767,-83.442133,1,2018,NA,17
"116",2018-01-11,"Castle Hayne","New Hanover",34.364167,-77.838611,1,2018,NA,12
"117",2018-01-11,"Clemmons Middle","Forsyth",36.026,-80.342,1,2018,NA,59
"118",2018-01-11,"Durham Armory","Durham",36.0329550008979,-78.904037,1,2018,NA,43.5
"119",2018-01-11,"Frying Pan Mountain","Haywood",35.379167,-82.7925,1,2018,NA,0
"120",2018-01-11,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2018,26,35
"121",2018-01-11,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,1,2018,NA,48.5
"122",2018-01-11,"Leggett","Edgecombe",35.988278,-77.5843,1,2018,NA,34
"123",2018-01-11,"Linville Falls","Avery",35.972347,-81.933072,1,2018,NA,3
"124",2018-01-11,"Mendenhall School","Guilford",36.1090060008986,-79.802314,1,2018,NA,55
"125",2018-01-11,"Millbrook School","Wake",35.856111,-78.574167,1,2018,26,23
"126",2018-01-11,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,2018,NA,27.5
"127",2018-01-11,"West Johnston Co.","Johnston",35.59095,-78.4622,1,2018,NA,41
"128",2018-01-12,"Bryson City","Swain",35.434767,-83.442133,1,2018,NA,10
"129",2018-01-12,"Castle Hayne","New Hanover",34.364167,-77.838611,1,2018,NA,0
"130",2018-01-12,"Clemmons Middle","Forsyth",36.026,-80.342,1,2018,NA,23
"131",2018-01-12,"Durham Armory","Durham",36.0329550008979,-78.904037,1,2018,NA,5
"132",2018-01-12,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2018,33,20
"133",2018-01-12,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,1,2018,NA,23
"134",2018-01-12,"Leggett","Edgecombe",35.988278,-77.5843,1,2018,NA,8
"135",2018-01-12,"Mendenhall School","Guilford",36.1090060008986,-79.802314,1,2018,NA,15
"136",2018-01-12,"Millbrook School","Wake",35.856111,-78.574167,1,2018,35,0
"137",2018-01-12,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,2018,NA,12
"138",2018-01-12,"West Johnston Co.","Johnston",35.59095,-78.4622,1,2018,NA,13
"139",2018-01-13,"Bryson City","Swain",35.434767,-83.442133,1,2018,NA,18
"140",2018-01-13,"Castle Hayne","New Hanover",34.364167,-77.838611,1,2018,NA,10
"141",2018-01-13,"Clemmons Middle","Forsyth",36.026,-80.342,1,2018,NA,10
"142",2018-01-13,"Durham Armory","Durham",36.0329550008979,-78.904037,1,2018,NA,20
"143",2018-01-13,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2018,32,15
"144",2018-01-13,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,1,2018,NA,10
"145",2018-01-13,"Leggett","Edgecombe",35.988278,-77.5843,1,2018,NA,0
"146",2018-01-13,"Mendenhall School","Guilford",36.1090060008986,-79.802314,1,2018,NA,12
"147",2018-01-13,"Millbrook School","Wake",35.856111,-78.574167,1,2018,32,24
"148",2018-01-13,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,2018,NA,3
"149",2018-01-13,"West Johnston Co.","Johnston",35.59095,-78.4622,1,2018,NA,8
"150",2018-01-14,"Bryson City","Swain",35.434767,-83.442133,1,2018,NA,28
"151",2018-01-14,"Castle Hayne","New Hanover",34.364167,-77.838611,1,2018,NA,10
"152",2018-01-14,"Clemmons Middle","Forsyth",36.026,-80.342,1,2018,NA,25
"153",2018-01-14,"Durham Armory","Durham",36.0329550008979,-78.904037,1,2018,NA,20
"154",2018-01-14,"Frying Pan Mountain","Haywood",35.379167,-82.7925,1,2018,NA,6
"155",2018-01-14,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2018,31,26.5
"156",2018-01-14,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,1,2018,NA,20.3333333333333
"157",2018-01-14,"Leggett","Edgecombe",35.988278,-77.5843,1,2018,NA,10
"158",2018-01-14,"Linville Falls","Avery",35.972347,-81.933072,1,2018,NA,10
"159",2018-01-14,"Mendenhall School","Guilford",36.1090060008986,-79.802314,1,2018,NA,22
"160",2018-01-14,"Millbrook School","Wake",35.856111,-78.574167,1,2018,NA,19.5
"161",2018-01-14,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,2018,NA,15.5
"162",2018-01-14,"West Johnston Co.","Johnston",35.59095,-78.4622,1,2018,NA,15
"163",2018-01-15,"Bryson City","Swain",35.434767,-83.442133,1,2018,NA,43
"164",2018-01-15,"Castle Hayne","New Hanover",34.364167,-77.838611,1,2018,NA,21
"165",2018-01-15,"Clemmons Middle","Forsyth",36.026,-80.342,1,2018,NA,30
"166",2018-01-15,"Durham Armory","Durham",36.0329550008979,-78.904037,1,2018,NA,44
"167",2018-01-15,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2018,27,43
"168",2018-01-15,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,1,2018,NA,30
"169",2018-01-15,"Leggett","Edgecombe",35.988278,-77.5843,1,2018,NA,24
"170",2018-01-15,"Mendenhall School","Guilford",36.1090060008986,-79.802314,1,2018,NA,40
"171",2018-01-15,"Millbrook School","Wake",35.856111,-78.574167,1,2018,NA,35
"172",2018-01-15,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,2018,NA,30
"173",2018-01-15,"West Johnston Co.","Johnston",35.59095,-78.4622,1,2018,NA,35
"174",2018-01-16,"Bryson City","Swain",35.434767,-83.442133,1,2018,NA,52
"175",2018-01-16,"Castle Hayne","New Hanover",34.364167,-77.838611,1,2018,NA,20
"176",2018-01-16,"Clemmons Middle","Forsyth",36.026,-80.342,1,2018,NA,69
"177",2018-01-16,"Durham Armory","Durham",36.0329550008979,-78.904037,1,2018,NA,60
"178",2018-01-16,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2018,28,61
"179",2018-01-16,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,1,2018,NA,68
"180",2018-01-16,"Leggett","Edgecombe",35.988278,-77.5843,1,2018,NA,29
"181",2018-01-16,"Mendenhall School","Guilford",36.1090060008986,-79.802314,1,2018,NA,70
"182",2018-01-16,"Millbrook School","Wake",35.856111,-78.574167,1,2018,24,58
"183",2018-01-16,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,2018,NA,37
"184",2018-01-16,"West Johnston Co.","Johnston",35.59095,-78.4622,1,2018,NA,53
"185",2018-01-17,"Bryson City","Swain",35.434767,-83.442133,1,2018,NA,37
"186",2018-01-17,"Castle Hayne","New Hanover",34.364167,-77.838611,1,2018,NA,24
"187",2018-01-17,"Clemmons Middle","Forsyth",36.026,-80.342,1,2018,NA,55
"188",2018-01-17,"Durham Armory","Durham",36.0329550008979,-78.904037,1,2018,NA,54.5
"189",2018-01-17,"Frying Pan Mountain","Haywood",35.379167,-82.7925,1,2018,NA,15
"190",2018-01-17,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2018,28,40.5
"191",2018-01-17,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,1,2018,NA,47.5
"192",2018-01-17,"Leggett","Edgecombe",35.988278,-77.5843,1,2018,NA,38
"193",2018-01-17,"Linville Falls","Avery",35.972347,-81.933072,1,2018,NA,19
"194",2018-01-17,"Mendenhall School","Guilford",36.1090060008986,-79.802314,1,2018,NA,51
"195",2018-01-17,"Millbrook School","Wake",35.856111,-78.574167,1,2018,29,56
"196",2018-01-17,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,2018,NA,48.5
"197",2018-01-17,"West Johnston Co.","Johnston",35.59095,-78.4622,1,2018,NA,66
"198",2018-01-18,"Bryson City","Swain",35.434767,-83.442133,1,2018,NA,48
"199",2018-01-18,"Castle Hayne","New Hanover",34.364167,-77.838611,1,2018,NA,30
